GageID, Dryness Index, Evaporative Index, Deviation from Budyko, Snow fraction, Average Daily Temperature (D)
02339500, 0.691, 0.6232, -0.0677, 0.0114, 15.7105
02347500, 0.8171, 0.6709, -0.0516, 0.0058, 17.0263
02349500, 0.843, 0.6662, -0.0351, 0.005, 17.3903
02365500, 0.7561, 0.618, -0.0282, 0.0018, 18.6135
02375500, 0.7263, 0.6234, -0.0489, 0.0021, 18.3388
02383500, 0.5755, 0.5804, -0.0939, 0.0251, 14.5612
02387000, 0.6133, 0.5649, -0.0546, 0.0244, 14.8509
02387500, 0.5963, 0.5747, -0.075, 0.025, 14.7186
02414500, 0.7084, 0.6056, -0.0406, 0.0123, 15.7662
02437000, 0.717, 0.0377, 0.5319, 0.0175, 16.4162
02448000, 0.7627, 0.6447, -0.0515, 0.0145, 17.1493
02456500, 0.6991, 0.5849, -0.0249, 0.0146, 16.0894
02472000, 0.73, 0.6483, -0.0719, 0.0068, 17.9375
02475000, 0.7218, 0.6428, -0.0706, 0.0053, 18.187
02475500, 0.7429, 0.6738, -0.0906, 0.0094, 17.4556
02478500, 0.7271, 0.6623, -0.0873, 0.0056, 17.9019
02479300, 0.6638, 0.5872, -0.047, 0.0018, 19.1308
02482000, 0.7549, 0.6713, -0.082, 0.0122, 17.1955
02486000, 0.7568, 0.6646, -0.0744, 0.0107, 17.3877
02492000, 0.6906, 0.6275, -0.0722, 0.0031, 18.7904
03010500, 0.6915, 0.4253, 0.1305, 0.195, 7.3882
03011020, 0.6798, 0.4463, 0.103, 0.2053, 7.2113
03020500, 0.674, 0.4284, 0.1177, 0.1716, 8.3463
03024000, 0.6954, 0.4185, 0.1394, 0.1657, 8.6545
03032500, 0.6731, 0.4656, 0.0799, 0.1559, 8.7278
03050500, 0.5305, 0.4996, -0.043, 0.1301, 9.1935
03051000, 0.538, 0.4649, -0.0031, 0.127, 9.3654
03054500, 0.5398, 0.4388, 0.0241, 0.1196, 9.8004
03065000, 0.6102, 0.2919, 0.2165, 0.151, 8.6233
03069000, 0.5044, 0.3141, 0.1244, 0.1456, 8.6912
03069500, 0.5234, 0.3571, 0.0947, 0.1536, 8.7083
03070000, 0.5233, 0.3381, 0.1137, 0.1464, 8.9878
03075500, 0.6052, 0.3149, 0.1904, 0.1534, 9.0195
03079000, 0.7032, 0.4307, 0.1315, 0.1825, 8.6098
03109500, 0.8396, 0.6084, 0.0211, 0.1056, 10.099
03111500, 0.7744, 0.6343, -0.0354, 0.0973, 10.8295
03114500, 0.6622, 0.5554, -0.0161, 0.0867, 11.4064
03136000, 0.8822, 0.6219, 0.0261, 0.1114, 9.4756
03155500, 0.6866, 0.5763, -0.0232, 0.0815, 11.629
03159500, 0.8448, 0.6139, 0.018, 0.0968, 10.7595
03161000, 0.5693, 0.4794, 0.0031, 0.0832, 10.5045
03164000, 0.6379, 0.5307, -0.0056, 0.0834, 10.5711
03165500, 0.6573, 0.5483, -0.0118, 0.0816, 10.7298
03167000, 0.795, 0.6175, -0.0085, 0.0881, 10.9482
03168000, 0.6943, 0.5623, -0.0049, 0.0848, 10.8097
03173000, 0.7811, 0.6164, -0.0141, 0.0871, 11.078
03175500, 0.7145, 0.5554, 0.0129, 0.0985, 10.4467
